"TABLE_NAME","COLUMN_NAME","DATA_TYPE","IS_NULLABLE","COLUMN_DEFAULT","COLUMN_KEY"
anilanguage,callid,varchar,YES,,""
anilanguage,isEnglish,int,YES,,""
anilanguage,updateDate,date,YES,,""
job_reports,job_id,varchar,YES,,""
job_reports,shift_id,varchar,YES,,""
job_reports,booking_id,varchar,NO,,PRI
job_reports,external_id,varchar,YES,,""
job_reports,user_tags,text,YES,,""
job_reports,vehicle_tags,text,YES,,""
job_reports,pick_up_location,text,YES,,""
job_reports,drop_off_location,text,YES,,""
job_reports,passenger,varchar,YES,,""
job_reports,email,varchar,YES,,""
job_reports,phone,varchar,YES,,""
job_reports,cost_code,varchar,YES,,""
job_reports,reference,varchar,YES,,""
job_reports,booked_by,varchar,YES,,""
job_reports,project,varchar,YES,,""
job_reports,parent_account_id,varchar,YES,,""
job_reports,account_id,varchar,YES,,""
job_reports,vehicle_number,varchar,YES,,""
job_reports,color,varchar,YES,,""
job_reports,vehicle_type,varchar,YES,,""
job_reports,license_plate,varchar,YES,,""
job_reports,callsign,varchar,YES,,""
job_reports,driver_name,varchar,YES,,""
job_reports,driver_last_name,varchar,YES,,""
job_reports,driver_first_name,varchar,YES,,""
job_reports,creator_name,varchar,YES,,""
job_reports,creator_last_name,varchar,YES,,""
job_reports,booking_source,varchar,YES,,""
job_reports,creator_first_name,varchar,YES,,""
job_reports,filed,datetime,YES,,""
job_reports,started,datetime,YES,,""
job_reports,arrived,datetime,YES,,""
job_reports,delivered,datetime,YES,,""
job_reports,picked_up,datetime,YES,,""
job_reports,scheduled_pickup,datetime,YES,,""
job_reports,direct_settled,decimal,YES,,""
job_reports,grand_total,decimal,YES,,""
job_reports,tip,decimal,YES,,""
job_reports,tax_total,decimal,YES,,""
job_reports,trip_total,decimal,YES,,""
job_reports,trip_extras,decimal,YES,,""
job_reports,primary_fop,varchar,YES,,""
job_reports,trip_base_fare,decimal,YES,,""
job_reports,stage,varchar,YES,,""
job_reports,status_details,varchar,YES,,""
job_reports_view,booking_id,varchar,NO,,""
job_reports_view,booking_source,varchar,YES,,""
job_reports_view,pick_up_location,text,YES,,""
job_reports_view,callsign,varchar,YES,,""
job_reports_view,driver_name,varchar,YES,,""
job_reports_view,filed,datetime,YES,,""
job_reports_view,started,datetime,YES,,""
job_reports_view,arrived,datetime,YES,,""
job_reports_view,delivered,datetime,YES,,""
job_reports_view,picked_up,datetime,YES,,""
job_reports_view,scheduled_pickup,datetime,YES,,""
job_reports_view,stage,varchar,YES,,""
job_reports_view,status_details,varchar,YES,,""
jwt_tokens,token,text,NO,,""
jwt_tokens,created_at,datetime,NO,CURRENT_TIMESTAMP,""
orders_json,order_id,varchar,NO,,PRI
orders_json,order_data,json,YES,,""
webhook_events,event_type,varchar,YES,,""
webhook_events,vehicle_number,varchar,YES,,""
webhook_events,license_plate,varchar,YES,,""
webhook_events,vehicle_make,varchar,YES,,""
webhook_events,vehicle_color,varchar,YES,,""
webhook_events,driver_phone_number,varchar,YES,,""
webhook_events,driver_first_name,varchar,YES,,""
webhook_events,driver_last_name,varchar,YES,,""
webhook_events,passenger_first_name,varchar,YES,,""
webhook_events,passenger_last_name,varchar,YES,,""
webhook_events,passenger_phone_number,varchar,YES,,""
webhook_events,job_id,varchar,YES,,""
webhook_events,booking_id,varchar,NO,,PRI
webhook_events,pick_up_location,text,YES,,""
webhook_events,drop_off_location,text,YES,,""
webhook_events,estimated_pick_up_time,varchar,YES,,""
webhook_events,actual_pickup_date_time,datetime,YES,,""
webhook_events,job_start_date_time,datetime,YES,,""
webhook_events,arrival_date_time,datetime,YES,,""
webhook_events,passenger_on_board_date_time,datetime,YES,,""
webhook_events,drop_off_date_time,datetime,YES,,""
webhook_events,job_closed_date_time,datetime,YES,,""
webhook_events,quoted_price,decimal,YES,,""
webhook_events,quoted_currency,varchar,YES,,""
webhook_events,fare_grand_total,decimal,YES,,""
webhook_events,company_name,varchar,YES,,""
webhook_events,booking_source,varchar,YES,,""
webhook_events,track_my_ride_url,text,YES,,""
webhook_events,cost_code,varchar,YES,,""
webhook_events,project_name,varchar,YES,,""
webhook_events,reference,varchar,YES,,""
webhook_events,customer_account_balance,decimal,YES,,""
